,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
18378,18378,5471356.33,13:33:32:203,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b triste joie.jpg
18379,18379,5471365.852,13:33:32:213,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.9899,11.9899,2.8528,644.7641,514.5541,White Space,,Local,7,0.0000,0.0000,0.0000,-15.9021,6.8191,651.8925,778.1716,477.8386,-,-,-,-,-,-,-,-
18380,18380,5471385.726,13:33:32:232,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,12.3187,12.3187,2.9301,643.1091,519.7551,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8955,6.8204,651.9793,778.2049,478.0542,-,-,-,-,-,-,-,-
18381,18381,5471405.603,13:33:32:252,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.5304,11.5304,2.7460,642.7956,513.4076,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8957,6.8053,652.0320,778.0488,477.7494,-,-,-,-,-,-,-,-
18382,18382,5471425.488,13:33:32:272,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.2067,11.2067,2.6700,640.6663,503.6596,White Space,,Local,7,0.0000,0.0000,0.0000,-15.9041,6.7750,651.9652,778.2330,477.6143,-,-,-,-,-,-,-,-
18383,18383,5471445.349,13:33:32:292,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.7068,11.7068,2.7875,641.3369,502.7269,White Space,,Local,7,0.0000,0.0000,0.0000,-15.9196,6.7290,652.1012,778.1199,477.9720,-,-,-,-,-,-,-,-
18384,18384,5471465.359,13:33:32:312,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.1338,11.1338,2.6522,639.3953,502.4331,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8851,6.6965,651.7893,778.1417,477.8789,-,-,-,-,-,-,-,-
18385,18385,5471485.236,13:33:32:332,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.5150,11.5150,2.7401,639.1937,507.4244,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8793,6.6780,651.4819,777.9906,478.1839,-,-,-,-,-,-,-,-
18386,18386,5471505.095,13:33:32:352,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.4977,11.4977,2.7349,638.3359,508.0056,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8755,6.6627,651.2222,777.9417,478.2431,-,-,-,-,-,-,-,-
18387,18387,5471524.981,13:33:32:372,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.4977,11.4977,2.7337,638.6537,511.6811,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8644,6.6851,650.9405,777.9417,478.2431,-,-,-,-,-,-,-,-
18388,18388,5471544.848,13:33:32:392,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.6904,11.6904,2.7751,641.9218,508.4027,White Space,,Local,7,0.0000,0.0000,0.0000,-15.8007,6.6949,650.0939,777.5438,478.1369,-,-,-,-,-,-,-,-
18389,18389,5471564.72,13:33:32:411,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,10.9014,10.9014,2.5890,640.4690,499.9277,White Space,,Local,7,0.0000,0.0000,0.0000,-15.7261,6.7450,649.5525,777.5366,477.4431,-,-,-,-,-,-,-,-
18390,18390,5471584.602,13:33:32:431,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.5308,11.5308,2.7361,638.5790,510.4257,White Space,,Local,7,0.0000,0.0000,0.0000,-15.6806,6.7492,649.6703,777.4010,478.2328,-,-,-,-,-,-,-,-
18391,18391,5471604.605,13:33:32:451,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.0083,11.0083,2.6148,640.1183,499.6121,White Space,,Local,7,0.0000,0.0000,0.0000,-15.6064,6.7524,649.7930,776.9051,477.6456,-,-,-,-,-,-,-,-
18392,18392,5471624.481,13:33:32:471,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.6089,11.6089,2.7547,641.2287,502.4815,White Space,,Local,7,0.0000,0.0000,0.0000,-15.5189,6.7899,649.7781,776.5464,477.7303,-,-,-,-,-,-,-,-
18393,18393,5471644.348,13:33:32:491,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.1519,11.1519,2.6477,641.4407,508.4758,White Space,,Local,7,0.0000,0.0000,0.0000,-15.4464,6.8268,649.6360,776.3715,477.5472,-,-,-,-,-,-,-,-
18394,18394,5471664.234,13:33:32:511,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.2202,11.2202,2.6665,639.6655,508.1419,White Space,,Local,7,0.0000,0.0000,0.0000,-15.4057,6.8735,650.3506,776.2827,477.4324,-,-,-,-,-,-,-,-
18395,18395,5471684.103,13:33:32:531,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Fixation,1,11.1919,11.1919,2.6613,641.5238,511.3125,White Space,,Local,7,0.0000,0.0000,0.0000,-15.3893,6.8977,650.6929,775.8574,477.3424,-,-,-,-,-,-,-,-
18396,18396,5471703.968,13:33:32:551,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Saccade,1,11.2718,11.2718,2.6815,636.8229,491.4806,White Space,,Local,7,0.0000,0.0000,0.0000,-15.4471,6.9812,651.0602,776.4325,477.0420,-,-,-,-,-,-,-,-
18397,18397,5471723.846,13:33:32:571,Trial008,08 b triste joie.jpg,0.0,5976.688,49,Crimson,98.0476,Eye,Saccade,1,11.2164,11.2164,2.6689,368.5109,492.7462,triste gauche,,Local,6,0.0000,0.0000,0.0000,-15.9705,7.0166,651.1413,780.3730,476.7593,-,-,-,-,-,-,-,-
