,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
33185,33185,3166953.3,17:22:00:950,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7e94741f1063de00c3acc5267bbe13ee_1280x1024.jpg
33186,33186,3166954.288,17:22:00:951,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,152.1017,403.0509,111.2172,418.0841,-,-,-,-,-,-,-,-,-0.17,0.2957,-0.94,-0.1621,0.2632,-0.951,-7.1821,-1.0725,610.6965,-63.4514,9.5075,614.049,670.9393,510.0386,890.2039,469.3718,0,-,-,-,-,-,-,-,-
33187,33187,3166970.975,17:22:00:968,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,150.9773,405.7247,112.6894,417.5623,-,-,-,-,-,-,-,-,-0.1705,0.2875,-0.9425,-0.1593,0.2588,-0.9527,-7.1997,-1.0985,611.1709,-63.4223,9.4565,613.4738,670.9939,510.2982,890.2759,469.6156,0,-,-,-,-,-,-,-,-
33188,33188,3166987.661,17:22:00:984,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,149.8393,407.084,113.785,418.0277,-,-,-,-,-,-,-,-,-0.1707,0.2872,-0.9425,-0.1624,0.2578,-0.9525,-7.2275,-1.1061,612.1231,-63.3875,9.4356,613.0271,671.0559,510.3359,890.3833,469.6873,0,-,-,-,-,-,-,-,-
33189,33189,3167004.347,17:22:01:001,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,149.3233,407.3338,114.517,418.9064,-,-,-,-,-,-,-,-,-0.1677,0.2872,-0.9431,-0.1624,0.2567,-0.9527,-7.237,-1.1077,612.9056,-63.3531,9.4283,612.6765,670.9963,510.345,890.3945,469.711,0,-,-,-,-,-,-,-,-
33190,33190,3167021.033,17:22:01:018,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,148.1097,406.2931,115.5682,420.4445,-,-,-,-,-,-,-,-,-0.17,0.2884,-0.9423,-0.1612,0.2542,-0.9536,-7.2448,-1.111,613.5711,-63.3211,9.4143,612.3831,671.0348,510.3362,890.369,469.7947,0,-,-,-,-,-,-,-,-
33191,33191,3167037.719,17:22:01:034,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,146.7383,404.3081,117.0428,422.2297,-,-,-,-,-,-,-,-,-0.1704,0.2913,-0.9413,-0.1559,0.2547,-0.9544,-7.2407,-1.1024,613.9206,-63.2744,9.4171,612.0184,671.0098,510.246,890.2354,469.7492,0,-,-,-,-,-,-,-,-
33192,33192,3167054.405,17:22:01:051,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,146.1216,402.6736,117.2496,422.1319,-,-,-,-,-,-,-,-,-0.1673,0.2937,-0.9411,-0.1586,0.2614,-0.9521,-7.2462,-1.0799,613.9225,-63.2545,9.4406,611.8404,670.972,510.1137,890.2803,469.5167,0,-,-,-,-,-,-,-,-
33193,33193,3167071.092,17:22:01:068,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,145.7292,400.0958,118.959,420.6976,-,-,-,-,-,-,-,-,-0.1667,0.2978,-0.94,-0.157,0.2647,-0.9515,-7.2461,-1.0619,613.5985,-63.2708,9.4704,612.0414,670.9771,509.9633,890.229,469.349,0,-,-,-,-,-,-,-,-
33194,33194,3167087.778,17:22:01:084,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,145.2003,399.5476,118.2476,420.6178,-,-,-,-,-,-,-,-,-0.1676,0.2944,-0.9409,-0.1646,0.2594,-0.9516,-7.2261,-1.0089,612.9171,-63.3501,9.5542,613.0446,670.95,509.8198,890.2721,469.1936,0,-,-,-,-,-,-,-,-
33195,33195,3167104.464,17:22:01:101,Trial006,5 tete point chien D.png,0,2899.314,57,MediumSlateBlue,100.0,Eye,Fixation,Fixation,1,1,145.7647,402.3256,118.6058,421.4844,-,-,-,-,-,-,-,-,-0.1664,0.2848,-0.944,-0.1637,0.2543,-0.9532,-7.198,-0.9335,612.1721,-63.3976,9.6089,613.602,670.8559,509.7084,890.2119,469.1163,0,-,-,-,-,-,-,-,-
