,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
22614,22614,6642276.146,14:36:27:123,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17 voc devant d.jpg
22615,22615,6642290.56,14:36:27:137,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Fixation,Fixation,1,1,13.3738,13.3738,3.0764,14.7017,14.7017,3.3273,1251.1578,531.3898,1251.1578,531.3898,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.1522,-5.2229,630.3006,18.8851,-0.1720,622.0158,874.6846,525.3114,629.0665,505.3748,-,-,-,-,-,-,-,-
22616,22616,6642310.564,14:36:27:157,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Fixation,Fixation,1,1,13.6772,13.6772,3.1457,14.8881,14.8881,3.3699,1254.8990,532.5937,1254.8990,532.5937,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.0692,-5.1967,630.4219,19.0260,-0.1151,622.1876,874.2072,525.4104,628.4688,505.2203,-,-,-,-,-,-,-,-
22617,22617,6642330.453,14:36:27:177,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Fixation,Fixation,1,1,13.5818,13.5818,3.1222,14.8548,14.8548,3.3629,1254.4507,530.6982,1254.4507,530.6982,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.8920,-5.1951,630.0654,19.1411,-0.1405,622.2581,873.7013,525.2740,627.9618,505.1909,-,-,-,-,-,-,-,-
22618,22618,6642350.317,14:36:27:197,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Fixation,Fixation,1,1,13.6855,13.6855,3.1456,14.7141,14.7141,3.3319,1255.1715,527.8221,1255.1715,527.8221,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.7622,-5.1449,630.0555,19.3093,-0.0858,622.3318,873.2057,525.0401,627.2284,504.8949,-,-,-,-,-,-,-,-
22619,22619,6642370.184,14:36:27:217,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Fixation,Fixation,1,1,13.6592,13.6592,3.1385,14.7364,14.7364,3.3385,1254.8786,528.2686,1254.8786,528.2686,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.5792,-5.1467,629.8235,19.4869,-0.0524,622.6334,872.5181,525.0312,626.6426,505.0845,-,-,-,-,-,-,-,-
22620,22620,6642390.051,14:36:27:237,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Saccade,Saccade,1,1,13.7696,13.7696,3.1632,14.9549,14.9549,3.3874,1256.2036,530.5330,1256.2036,530.5330,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.4034,-5.0822,629.7800,19.6477,-0.0691,622.6443,871.6619,524.9805,626.0259,505.0929,-,-,-,-,-,-,-,-
22621,22621,6642409.932,14:36:27:257,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Saccade,Saccade,1,1,13.6862,13.6862,3.1474,14.8727,14.8727,3.3690,1115.0288,520.7435,1115.0288,520.7435,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.5037,-4.9857,630.4044,19.6297,0.0270,622.6354,873.4125,524.1501,627.0489,504.0168,-,-,-,-,-,-,-,-
22622,22622,6642429.8,14:36:27:277,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Saccade,Saccade,1,1,13.6855,13.6855,3.1526,15.0175,15.0175,3.4057,947.3552,472.9113,947.3552,472.9113,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.8259,-4.7998,631.4609,19.3513,0.1925,623.4509,875.8717,522.7217,629.9410,503.0672,-,-,-,-,-,-,-,-
22623,22623,6642449.683,14:36:27:297,Trial017,17 voc devant d.jpg,0.0,2878.734,51,DarkKhaki,95.1807,Eye,Saccade,Saccade,1,1,13.6367,13.6367,3.1446,14.9203,14.9203,3.3884,808.6794,398.8166,808.6794,398.8166,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.0381,-4.6679,632.0589,19.1362,0.3100,624.2667,877.8489,521.7193,632.2947,501.8373,-,-,-,-,-,-,-,-
