,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
40968,40968,884862.578,11:45:59:756,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 tete chien d.jpg
40969,40969,884948.883,11:45:59:842,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Blink,Blink,1,1,3.6955,3.2492,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40970,40970,885092.771,11:45:59:986,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Blink,Blink,1,1,3.6955,3.2492,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40971,40971,885136.741,11:46:00:030,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Blink,Blink,1,1,3.6955,3.2492,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40972,40972,885180.873,11:46:00:074,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Blink,Blink,1,1,3.6955,3.2492,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40973,40973,885224.808,11:46:00:118,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Blink,Blink,1,1,3.6955,3.2492,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40974,40974,885268.812,11:46:00:162,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Blink,Blink,1,1,3.6955,3.2492,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40975,40975,885425.489,11:46:00:319,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Saccade,Saccade,1,1,3.6560,3.2418,692.5422,507.1883,692.5422,507.1883,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40976,40976,885445.476,11:46:00:339,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,1,1,3.6710,3.2509,705.3178,447.9907,705.3178,447.9907,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40977,40977,885465.356,11:46:00:359,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,1,1,3.7637,3.2969,724.5895,445.5732,724.5895,445.5732,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40978,40978,885485.234,11:46:00:379,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,1,1,3.6973,3.2032,725.0159,429.6356,725.0159,429.6356,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40979,40979,885505.104,11:46:00:399,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,1,1,3.6623,3.1094,727.0365,428.9479,727.0365,428.9479,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40980,40980,885524.982,11:46:00:418,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,1,1,3.5161,3.0754,733.2395,437.7797,733.2395,437.7797,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40981,40981,885544.86,11:46:00:438,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,1,1,3.3124,2.8543,728.1158,421.1786,728.1158,421.1786,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40982,40982,885564.731,11:46:00:458,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,-,-,-,-,3.5984,3.1350,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40983,40983,885584.61,11:46:00:478,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Saccade,Saccade,2,2,3.8578,3.3175,726.4386,426.5088,726.4386,426.5088,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40984,40984,885604.481,11:46:00:498,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Saccade,Saccade,2,2,3.7023,3.0637,726.3614,422.9083,726.3614,422.9083,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40985,40985,885624.349,11:46:00:518,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Saccade,Saccade,2,2,3.7232,3.1086,729.7323,413.9477,729.7323,413.9477,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40986,40986,885644.354,11:46:00:538,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Saccade,Saccade,2,2,3.5862,3.0439,730.9281,390.0703,730.9281,390.0703,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40987,40987,885664.228,11:46:00:558,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Saccade,Saccade,2,2,3.6299,3.0603,865.2120,416.0228,865.2120,416.0228,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40988,40988,885684.11,11:46:00:578,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6625,3.0307,1024.8247,425.9266,1024.8247,425.9266,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40989,40989,885703.975,11:46:00:597,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6204,3.0109,1055.9419,423.7190,1055.9419,423.7190,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40990,40990,885723.854,11:46:00:617,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6521,3.1199,1062.6246,426.2026,1062.6246,426.2026,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40991,40991,885743.729,11:46:00:637,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.7462,3.0706,1057.3305,433.0997,1057.3305,433.0997,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40992,40992,885763.598,11:46:00:657,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6283,3.1161,1063.0454,436.6478,1063.0454,436.6478,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40993,40993,885783.478,11:46:00:677,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.7007,3.1069,1058.4991,445.5875,1058.4991,445.5875,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40994,40994,885803.357,11:46:00:697,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6441,3.0655,1054.2748,429.9332,1054.2748,429.9332,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40995,40995,885823.226,11:46:00:717,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6957,3.0947,1058.5050,433.4628,1058.5050,433.4628,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40996,40996,885843.109,11:46:00:737,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6069,3.1324,1061.3412,436.4220,1061.3412,436.4220,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40997,40997,885863.095,11:46:00:757,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6669,3.1381,1063.6149,435.2648,1063.6149,435.2648,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
40998,40998,885882.975,11:46:00:776,Trial005,05 tete chien d.jpg,0.0,2889.987,20,DeepPink,80.2772,Eye,Fixation,Fixation,2,2,3.6961,3.1967,1065.5691,434.8714,1065.5691,434.8714,White Space,White Space,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-
