,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
32153,32153,997981.638,13:32:58:031,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Information,Separator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a083ab3b4d7c6e63c12f3b51307da008.avi
32154,32154,997986.591,13:32:58:036,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.2524,21.2524,4.5183,659.6898,380.1372,-,-,-,-,-0.076,0.5053,-0.8596,82.808,-77.514,507.0263,249.6222,866.4077,0,-,-,-,-,-,-,-,-
32155,32155,998003.278,13:32:58:053,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.2292,21.2292,4.5211,659.5173,380.8056,-,-,-,-,-0.0799,0.5047,-0.8596,82.5651,-77.6015,507.3829,251.1367,866.5824,0,-,-,-,-,-,-,-,-
32156,32156,998019.966,13:32:58:069,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.2426,21.2426,4.5233,659.7588,380.897,-,-,-,-,-0.0734,0.5084,-0.858,82.1769,-77.6345,507.0728,252.5865,866.8652,0,-,-,-,-,-,-,-,-
32157,32157,998036.654,13:32:58:086,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.2629,21.2629,4.5264,660.8959,381.4416,-,-,-,-,-0.0711,0.5078,-0.8586,81.8972,-77.7517,507.4555,254.149,867.1654,0,-,-,-,-,-,-,-,-
32158,32158,998053.342,13:32:58:103,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.3071,21.3071,4.5309,661.6497,382.0113,-,-,-,-,-0.0706,0.5059,-0.8597,81.5779,-77.8551,507.6,255.7525,867.5988,0,-,-,-,-,-,-,-,-
32159,32159,998070.029,13:32:58:119,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.2681,21.2681,4.5331,662.2343,382.3277,-,-,-,-,-0.0709,0.5076,-0.8587,81.2381,-77.9638,507.6815,257.4292,868.0113,0,-,-,-,-,-,-,-,-
32160,32160,998086.717,13:32:58:136,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.3372,21.3372,4.5381,661.7382,383.0114,-,-,-,-,-0.0737,0.5047,-0.8601,80.9584,-78.1231,508.0366,259.0783,868.5849,0,-,-,-,-,-,-,-,-
32161,32161,998103.405,13:32:58:153,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.2634,21.2634,4.5387,661.4904,382.6664,-,-,-,-,-0.0728,0.5082,-0.8581,80.5516,-78.1919,507.6911,260.7239,869.0663,0,-,-,-,-,-,-,-,-
32162,32162,998120.092,13:32:58:169,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.367,21.367,4.5435,661.2572,383.1442,-,-,-,-,-0.0714,0.504,-0.8608,80.2524,-78.3114,507.8853,262.241,869.6012,0,-,-,-,-,-,-,-,-
32163,32163,998136.78,13:32:58:186,Trial018,VNVD151207.avi,0,49127.271,56,DarkOliveGreen,98.6892,Eye,Fixation,1,21.4857,21.4857,4.5514,661.3704,383.4483,-,-,-,-,-0.0696,0.5053,-0.8601,79.8703,-78.3412,507.5304,263.7422,869.961,0,-,-,-,-,-,-,-,-
