,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Name Left,AOI Group Left,AOI Scope Left,AOI Order Binocular,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
53515,53515,2208289.457,12:39:24:000,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1coucou g.jpg
53516,53516,2208307.447,12:39:24:018,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Saccade,Saccade,1,1,698.6281,334.3067,698.6281,334.3067,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.5118,-39.8211,567.4016,-27.4172,-36.2416,577.6858,1079.0707,679.5419,833.9219,660.2635,-,-,-,-,-,-,-,-
53517,53517,2208327.329,12:39:24:038,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Saccade,Saccade,1,1,699.9997,337.6629,699.9997,337.6629,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.5223,-39.8604,567.6932,-27.3666,-36.2235,577.2232,1078.7938,679.9529,833.6961,660.4906,-,-,-,-,-,-,-,-
53518,53518,2208347.233,12:39:24:058,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Saccade,Saccade,1,1,699.4126,336.3255,699.4126,336.3255,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.5315,-39.9149,568.0864,-27.3129,-36.2514,577.4078,1078.5704,680.0123,833.3627,660.5024,-,-,-,-,-,-,-,-
53519,53519,2208367.084,12:39:24:078,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Saccade,Saccade,1,1,697.5847,338.4805,697.5847,338.4805,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.5635,-39.9455,568.6070,-27.2669,-36.2624,577.5688,1078.3659,680.1260,833.2688,660.6838,-,-,-,-,-,-,-,-
53520,53520,2208386.96,12:39:24:098,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Saccade,Saccade,1,1,691.8368,326.0846,691.8368,326.0846,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.6193,-39.9634,569.0570,-27.3303,-36.2895,577.6879,1078.6614,679.3936,833.7970,660.1908,-,-,-,-,-,-,-,-
53521,53521,2208406.947,12:39:24:117,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Fixation,Fixation,1,1,587.6282,206.7661,587.6282,206.7661,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.6847,-39.9192,568.8504,-27.5575,-36.2285,577.5100,1080.2859,677.9965,835.9749,658.6824,-,-,-,-,-,-,-,-
53522,53522,2208426.819,12:39:24:137,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Fixation,Fixation,1,1,588.7247,147.5333,588.7247,147.5333,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.7508,-40.0034,569.0913,-27.5771,-36.2860,577.4181,1080.2569,677.3855,836.0753,658.3715,-,-,-,-,-,-,-,-
53523,53523,2208446.694,12:39:24:157,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Fixation,Fixation,1,1,582.4124,142.6118,582.4124,142.6118,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.8200,-40.0067,569.6204,-27.5062,-36.3043,579.1095,1080.1487,677.3103,835.9312,657.8836,-,-,-,-,-,-,-,-
53524,53524,2208466.576,12:39:24:177,Trial001,1coucou G.jpg,0.0,2882.193,33,Goldenrod,100.0,Eye,Fixation,Fixation,1,1,584.0623,128.3810,584.0623,128.3810,-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.8800,-39.9702,569.9616,-27.5983,-36.2515,578.8122,1080.2095,676.7970,836.0195,657.3359,-,-,-,-,-,-,-,-
